id,dim1,dim2,dim3,cid
779,20,22,19,0
780,19,21,18,0
781,24,26,23,0
782,22,24,21,0
783,18,20,17,0
784,19,21,18,0
785,27,29,26,0
786,28,29,27,0
787,24,24,22,0
788,24,24,22,0
789,24,24,22,0
790,23,23,21,0
791,23,23,21,0
792,21,21,19,0
793,21,21,19,0
794,23,23,21,0
795,23,23,21,0
796,22,22,20,0
797,20,20,18,0
798,22,22,20,0
799,22,22,20,0
800,22,22,20,0
801,22,22,20,0
802,22,22,20,0
803,22,22,20,0
804,20,20,18,0
805,20,20,18,0
806,21,21,19,0
807,22,22,20,0
808,23,23,21,0
809,22,23,21,0
810,22,24,21,0
811,22,24,21,0
812,22,24,21,0
813,22,24,21,0
814,22,24,21,0
815,21,23,20,0
816,21,23,20,0
817,21,23,20,0
818,22,24,21,0
819,23,25,22,0
820,23,25,22,0
821,24,24,18,0
822,26,26,19,0
823,25,23,17,0
824,33,30,24,0
825,33,28,22,0
826,37,32,27,0
827,70,63,55,0
828,85,78,70,0
829,118,111,103,2
830,118,111,103,2
831,104,97,89,2
832,111,104,96,2
833,117,113,107,2
834,114,110,104,2
835,105,101,95,2
836,121,116,111,2
837,118,113,108,2
838,99,95,89,2
839,87,83,78,0
840,86,83,77,0
841,85,81,76,0
842,95,91,86,2
843,68,65,60,0
844,42,35,28,0
845,30,22,15,0
846,36,27,22,0
847,34,24,22,0
848,43,33,32,0
849,39,30,29,0
850,29,24,20,0
851,28,23,19,0
852,25,21,18,0
853,24,22,19,0
854,25,24,22,0
855,27,26,24,0
856,26,25,23,0
857,23,22,20,0
858,20,19,17,0
859,20,19,17,0
860,21,20,18,0
861,22,21,19,0
862,21,20,18,0
863,21,20,18,0
864,21,20,18,0
865,19,18,16,0
866,19,18,16,0
867,20,19,15,0
868,19,18,14,0
869,18,17,13,0
870,17,16,12,0
871,18,17,13,0
872,20,19,15,0
873,20,19,15,0
874,20,19,15,0
875,19,18,14,0
876,18,17,13,0
877,18,17,13,0
878,17,16,12,0
879,17,16,12,0
